,movie,years,mpaa_ratings,fan_stars,genres,creators,imdb_reference
393,Gayby Baby,2015,PG,6.6,"['Documentary', 'Family']","['Maya Newell', 'Ebony', 'Graham', 'Gus', 'Matt']",tt3898028
394,Karera ga honki de amu toki wa,2017,-,7.0,['Drama'],"['Naoko Ogigami', 'Mugi Kadowaki', 'Kenta Kiritani', 'Tôma Ikuta', 'Eiko Koike']",tt5633706
395,The American Boys,2020,-,8.6,['Drama'],"['Matt Chupack', 'Antoine Dupont-Guerra', 'Anders Helde', 'Michael Hyman', 'Jerell Rosales', 'Prash Sampathkumaran', 'Wilson Cruz', 'Zackary Arthur', 'Miles Tagtmeyer', 'Jason Heymann']",tt1352428
396,Do I Sound Gay?,2014,Unrated,5.7,['Documentary'],"['David Thorpe', 'David Thorpe', 'George Takei', 'Tim Gunn', 'David Sedaris']",tt3997238
397,"Ano koro, kimi wo oikaketa",2018,-,5.9,"['Drama', 'Romance']","['Yasuo Hasegawa', 'Yûki Yamada', 'Honoka Matsumoto', 'Asuka Saitô', 'Naoki Kunishima']",tt7339938
398,The Italian Boys,2020,-,-,['Drama'],"['Lorenzo Caproni', 'Dario di Viesto', 'Renato Muro', 'Fabrizio Ferracane', 'Rocco Fasano', 'Antonio De Franco', 'Sara Serraiocco']",tt1324550
399,Chuugaku seinikki,2018,-,6.2,"['Drama', 'Romance']","['Kasumi Arimura', 'Nobue Iketani', 'Masaki Kaji', 'Kazuna Kawaguchi']",tt9271566
400,Helicopter Mom,2014,Not Rated,5.4,"['Comedy', 'Drama']","['Salomé Breziner', 'Nia Vardalos', 'Jason Dolley', 'Mark Boone Junior', 'Skyler Samuels']",tt3094236
401,The Bravest Knight,2019,-,6.4,"['Animation', 'Family']","['Storm Reid', 'T.R. Knight', 'Chance Hurstfield', 'Bobby Moynihan']",tt1039479
402,Carlinhos & Carlão,2019,-,6.5,"['Comedy', 'Drama']","['Pedro Amorim', 'Bernardo Alves', 'Alainstar Aredes', 'Otávio Augusto', 'Raphaella Baros']",tt8137384
403,The Love Letter,2017,-,4.4,"['Short', 'Drama', 'Romance']","['Atara Frish', 'Shir Abramov', 'Gili Beit-Halahmi', 'Ravit Dor']",tt6809392
404,One Four Three,,-,-,"['Drama', 'Thriller']","['Jade Winters', 'Ella McCready', 'Ellouise Shakespeare-Hart', 'Rory Grant', 'Amanda Bray']",tt1043512
405,Yokomichi Yonosuke,2013,-,7.4,['Drama'],"['Shûichi Okita', 'Ayumi Itô', 'Jun Kunimura', 'Sôsuke Ikematsu', 'Gô Ayano']",tt2151915
406,Margarita,2012,Not Rated,6.2,"['Comedy', 'Drama']","['Dominique Cardona', 'Laurie Colbert', 'Nicola Correia-Damude', 'Patrick McKenna', 'Claire Lautier', 'Christine Horne']",tt2318601
407,Coffee Café,2020,-,6.8,['Drama'],"['Arunkumar Senthil', 'Abirami', 'Dilli', 'Shara Monu', 'Sudha P.']",tt1314718
408,Juana Inés,2016,-,7.6,"['Biography', 'History']","['Alberto Collado', 'Gonzalo Guzmán', 'Arcelia Ramírez', 'Karina Díaz López']",tt5593998
409,Mystère à la Tour Eiffel,2015 TV Movie,-,6.4,"['Crime', 'Drama', 'Thriller']","['Léa Fazer', 'Marie Denarnaud', 'Aïssa Maïga', 'Grégori Derangère', 'Bruno Debrandt']",tt4471456
410,Oranges,2004,-,6.9,"['Short', 'Drama', 'Romance']","['Kristian Pithie', 'Martin Sharpe', 'Thomas Blackburne', 'Robyn Nethercote', 'Virginia Ryan']",tt0401703
411,Drag Kids,2019,-,5.2,['Documentary'],"['Megan Wennberg', 'Olivia Bailey', 'Trinity Bailey', 'Victoria Bailey-Kerr', 'Nemis Quinn Mélançon Golden']",tt1045175
412,Seikon no Qwaser II,2011,TV-MA,6.0,"['Animation', 'Action']","['Yûko Sanpei', 'Ayumi Fujimura', 'Aki Toyosaki', 'Yoshino Nanjô']",tt3444608
413,Spies Are Forever,2016,-,8.9,['Musical'],"['Corey Lubowich', 'Curt Mega', 'Mary Kate Wiles', 'Joey Richter', 'Brian Rosenthal']",tt5891144
414,Re: Cutie Honey,2004 Video,-,7.2,"['Animation', 'Adventure', 'Comedy']","['Hideaki Anno', 'Hiroyuki Imaishi', 'Takamichi Ito', 'Masayuki', 'Yui Horie', 'Hideo Ishikawa', 'Junko Noda', 'Kazue Ikura']",tt0423041
415,My Mother's Lovers,2020,-,6.7,['Short'],"['Samuel Montes de Oca León', 'César Acosta', 'Sandra Burgos', 'Alonso Esponda']",tt1231317
416,sHERlock,2016,-,6.6,"['Crime', 'Drama', 'Mystery']","['Helen Davies', 'Lisa Bunker', 'Cherry Lemonade', 'Herlin Navarro']",tt4959996
417,Passing Strange,2009,TV-MA,6.3,"['Documentary', 'Musical']","['Spike Lee', ""De'Adre Aziza"", 'Daniel Breaker', 'Eisa Davis', 'Colman Domingo']",tt3457144
418,Closets,2015,-,6.8,"['Short', 'Drama', 'Sci-Fi']","['Lloyd Eyre-Morgan', 'Julie Hesmondhalgh', 'Tommy Knight', 'Ceallach Spellman', 'Jason Done']",tt4643840
419,The Gay Husbands of San Francisco,2017,-,5.0,['Comedy'],"['Michael Phillis', 'Brian J. Patterson', 'Ed Gonzalez Moreno', 'JD Scalzo']",tt7635736
420,After Louie,2017,-,5.7,"['Drama', 'Romance']","['Vincent Gagliostro', 'Alan Cumming', 'Zachary Booth', 'Sarita Choudhury', 'Patrick Breen']",tt5974044
421,A Silent Agreement,2017,Not Rated,8.1,"['Drama', 'Romance']","['Davo Hardy', 'Davo Hardy', 'Joshua Sealy', 'Paul Mercurio', 'Sage Godrei']",tt6427368
422,Gay OK Bangkok,2016,-,8.3,"['Drama', 'Romance']","['Theepisit Frame Mahaneeranon', 'Tosatid Darnkhuntod', 'Kun Mookdasanit', 'Watchara Sukchum']",tt6556958
423,Fire Emblem: Fates,2015 Video Game,T,7.5,"['Action', 'Adventure', 'Family']","['Kouhei Maeda', 'Genki Yokota', 'Masaki Ishii', 'Shunsuke Tsuchiya', 'Yûichi Nakamura', 'Kaori Nazuka', 'Yûki Kaji', 'Hisako Kanemoto']",tt5489750
424,Out with Dad,2010,-,7.5,['Drama'],"['Kate Conway', 'Lindsey Middleton', 'Caitlynne Medrek', 'Jonathan Robbins']",tt1826332
425,Little Boy Big Boy,2009,-,5.6,"['Comedy', 'Drama']","['Joselito Altarejos', 'Paolo Rivero', 'Ray An Dulay', 'Michael Cayetano', 'Marc Jacob']",tt1487945
426,Líbánky,2013,-,6.5,"['Drama', 'Thriller']","['Jan Hrebejk', 'Anna Geislerová', 'Stanislav Majer', 'Jirí Cerný', 'Kristýna Nováková']",tt2718538
427,Ronny & i,2013,Not Rated,7.8,"['Short', 'Comedy', 'Drama']","['Guy Shalem', 'Adam Berry', 'Luke Humphrey']",tt2831440
428,(A)sexual,2011,Not Rated,6.1,"['Documentary', 'Romance']","['Angela Tucker', 'Aliza', 'Antonia', 'Barb', 'Joy Behar']",tt1811293
429,Manji,2006,-,6.3,"['Drama', 'Romance']","['Noboru Iguchi', 'Yoshiyoshi Arakawa', 'Cosmosco', 'Fujiko', 'Hironobu Nomura']",tt0781422
430,In the Family,2011,Not Rated,7.0,"['Drama', 'Romance']","['Patrick Wang', 'Sebastian Banes', 'Patrick Wang', 'Trevor St. John', 'Lisa Altomare']",tt1845804
431,Your Heart is Homeless,2019,Not Rated,6.3,"['Short', 'Drama']","['Darren Brade', 'James Buttling', 'Wesley Mahoney', 'Peter McPherson']",tt1057261
432,Upon the Edge,2021,-,-,"['Drama', 'Romance']","['Timothy Reynard', 'Maynard Eziashi', 'Amaka Okafor', 'Zulekha Chaka', 'Will FitzGerald']",tt1193706
433,Chasing Pavement,2015,Unrated,4.9,['Drama'],"['Matthew Doyle', 'Remy Mars', 'Tokio Sasaki', 'Antonio Biaggi', 'Zekee Silos']",tt5062072
434,Penis,1965,-,7.8,"['Drama', 'Short']","['A.J. Rose Jr.', 'Kathleen Kennedy']",tt0254672
435,Musings,2018,-,-,"['Short', 'Drama']","['Bina Bhattacharya', 'Alessia Medina', 'Angela Downing', 'Alex Ewan', 'Adrian Ellis']",tt8914466
436,Enter,2018,TV-MA,5.6,"['Short', 'Drama']","['Manuel Billi', 'Benjamin Bodi', 'Félix Maritaud', 'Raphaël Fournier', 'Manuel Billi', 'Pavel Danko']",tt8103824
437,El amigo,2017,-,7.1,"['Short', 'Drama', 'Romance']","['Erick Salas Kirchhausen', 'Óscar Meza', 'Sebastián Rubio']",tt7217540
438,Sankaku Mado no Sotogawa wa Yoru,2021,-,5.3,"['Mystery', 'Romance', 'Thriller']","['Yukihiro Morigaki', 'Yurina Hirate', 'Keiko Kitagawa', 'Shinya Niiro', 'Masaki Okada']",tt1268164
439,Seven Boxes,2022,-,-,['Horror'],"['Andrew Sean Eltham-Byers', 'Sam Dennis', 'Josh Boden', 'Matt Fisher', ""Karl O'Brien""]",tt8384984
440,The Last Time You Had Fun,2014,Not Rated,6.0,"['Comedy', 'Drama']","['Mo Perkins', 'Kyle Bornheimer', 'Eliza Coupe', 'Mary Elizabeth Ellis', 'Demetri Martin']",tt3133246
441,"It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives",1971,-,6.6,"['Documentary', 'Drama']","['Rosa von Praunheim', 'Berryt Bohlen', 'Bernd Feuerhelm', 'Ernst Kuchling', 'Norbert Losch']",tt0066136
442,The Scars Our Parents Leave,2020,-,-,['Drama'],"['Roy Bercier', 'Stephon Dennison', 'Cameron Duckery', 'Marlon Hayes']",tt1194508
443,What Did you Eat Yesterday?,2019,-,7.5,['Family'],"['Hayato Isomura', 'Meiko Kaji', 'Chan Kawai', 'Marin']",tt9657792
444,Wedding Wars,2006 TV Movie,Not Rated,6.0,"['Comedy', 'Drama', 'Romance']","['Jim Fall', 'John Stamos', 'Eric Dane', 'Bonnie Somerville', 'Sean Maher']",tt0823158
445,Kept Man,2014,Not Rated,5.5,"['Short', 'Drama', 'Horror']","['Brett Annese', 'Wilson Cleveland', 'Hartley Sawyer']",tt4071550
446,The Wedding,2018,-,6.0,"['Drama', 'Romance']","['Sam Abbas', 'Nikohl Boosheri', 'Sam Abbas', 'Harry Aspinwall', 'Hend Ayoub']",tt7297030
447,ChickenHawk,1994,-,6.8,"['Documentary', 'Crime']","['Adi Sideman', 'Barbara Adler', 'Mimi Turner', 'Bill Andriette', 'Bill Bickly']",tt0109410
448,Pool Days,1993,Not Rated,6.7,"['Short', 'Comedy', 'Drama']","['Brian Sloan', 'Josh Philip Weinstein', 'Nick Kokotakis', 'Kimberly Flynn', 'Richard Salamanca']",tt0107851
449,Papercut,2018,-,7.0,"['Short', 'Comedy', 'Drama']","['Damian Overton', 'Josh Kieser', 'Kieton Beilby', 'Donnie Baxter']",tt6703700
450,Grey Rainbow,2016,-,7.3,"['Drama', 'Romance']","['Kasidej Hongladaromp', 'Nutchapon Rattanamongkol']",tt6581148
451,Good Boy,2015,Not Rated,7.2,"['Short', 'Crime', 'Drama']","['Chris Coats', 'Francis Martinelli', 'Nicholas Tucci', 'Cliff Weissman', 'Toni Christopher']",tt4896952
452,A Wake,2019,-,8.8,['Drama'],"['Scott Boswell', 'Noah Urrea', 'Kolton Stewart', 'Sofia Rosinsky', 'Megan Trout']",tt7521358
453,Opulence,2019,-,9.0,['-'],"['Natalie Wynn', 'Natalie Wynn', 'Buck Angel', 'Harris Brewis', 'Shon Faye']",tt1125605
454,Hotel Boy,2018,-,6.4,"['Short', 'Drama', 'Romance']","['Michael Søndergaard', 'Youssef Wayne Hvidtfeldt', 'Claes Bang']",tt6635420
455,Portrait of Jason,1967,Not Rated,7.2,"['Documentary', 'Biography']","['Shirley Clarke', 'Jason Holliday', 'Shirley Clarke', 'Carl Lee']",tt0062144
456,The Chadwick Journals,2011,-,7.2,"['Drama', 'Mystery']","['Damian T. Raven', 'Jemar Michael', 'Thomas Hobson', 'Skyh Alvester Black']",tt2194675
457,S.A.M.,2020,-,7.1,"['Short', 'Drama']","['Neil Ely', 'Lloyd Eyre-Morgan', 'George Webster', 'Sam Retford', 'David Tag', 'Rebecca-Clare Evans']",tt1142586
458,"Saitankyori wa mawari kudokute,",2019,-,6.6,"['Drama', 'Romance']","['Daisuke Yamanouchi', 'Ryohei Shioguchi', 'Mukai Riku', 'Hattori Muo', 'Hasegawa Hiroto']",tt1036059
459,Honest Men,2017,-,6.7,['Drama'],"['Tripp Ali', 'Donta Hensley', 'Gary Lavard', 'David K. Price']",tt7678504
460,Night Disclosure,2021,-,-,"['Short', 'Romance']","['A.J. Mattioli', 'Sean Patrick Murtagh', 'José D. Álvarez']",tt1358177
461,Vergel,2017,-,5.9,['Drama'],"['Kris Niklison', 'Camila Morgado', 'Maricel Álvarez', 'Maria Alice Vergueiro', 'Daniel Fanego']",tt6776300
462,The Good Waiter,2016,Not Rated,4.7,"['Short', 'Drama']","['George Bamber', 'Kevin Grant Spencer', 'Matthew Ludwinski', 'Michelle Grisaffi', 'Fayelyn Bilodeau']",tt5473298
463,L.G.B.T. Love Stories,2016,-,3.7,"['Comedy', 'Drama', 'Romance']","['Touch Brandon', 'Shelbe Chang', 'Danielle Earle', 'Patrick Freeman', 'Frederic Farina', 'Christina Russo', 'Danny Martinez', 'John Nikki Garcia']",tt3506268
464,One Deep Breath,2014,-,5.7,"['Drama', 'Thriller']","['Antony Hickling', 'Manuel Blanc', 'Thomas Laroppe', 'Stéphanie Michelini', 'André Schneider']",tt2597802
465,In Jackson Heights,2015,TV-MA,7.2,['Documentary'],"['Frederick Wiseman', 'Laura Obiols']",tt4936064
466,Mrs McCutcheon,2017,Not Rated,6.1,"['Short', 'Comedy', 'Drama']","['John Sheedy', 'Alec Golinger', 'Wesley Patten', 'Nadine Garner', 'Virginia Gay']",tt6480442
467,"Par-courts Gay, Volume 1",2011,-,5.8,"['Animation', 'Drama', 'Romance']","['Ingo J. Biermann', 'Veronique Courtois', 'Alain Hain', 'Dennis Hensley', 'Julián Hernández', 'Alexander Pfeuffer', 'Michael J. Saul', 'Sergio Almazán', 'Sharon Batten', 'Danny Bernardy', 'Maximilian Giertler']",tt9078484
468,Matt,2019,Not Rated,6.2,"['Short', 'Drama', 'Fantasy']","['Ori Tom Ravid', 'Colby Jansen', 'Patrick Wallace']",tt8999992
469,A Florida Enchantment,1914,Unrated,5.8,['Comedy'],"['Sidney Drew', 'Sidney Drew', 'Edith Storey', 'Charles Kent', 'Mrs. Sidney Drew']",tt0003973
470,A Thousand Clouds of Peace,2003,Not Rated,5.6,"['Drama', 'Romance']","['Julián Hernández', 'Juan Carlos Ortuño', 'Juan Carlos Torres', 'Salvador Alvarez', 'Gloria Andrade']",tt0358590
471,Mein Sohn Helen,2015 TV Movie,-,6.5,['Drama'],"['Gregor Schnitzler', 'Heino Ferch', 'Jannik Schümann', 'Winnie Böwe', 'Kyra Sophia Kahre']",tt4160870
472,Lady Peacock,2014,Not Rated,5.6,"['Comedy', 'Romance']","['A.J. Mattioli', 'Alec Seymour', 'Joshua Cruz', 'Simon Vargas', 'Kc Comeaux']",tt2457080
473,Freeheld,2007,Not Rated,7.7,"['Documentary', 'Short']","['Cynthia Wade', 'Laurel Hester', 'Stacie Andree', 'Dane B. Wells', 'Steven Goldstein']",tt0914369
474,Diary of Tootsies,2016,-,7.7,"['Comedy', 'Drama', 'Romance']","['Paopetch Charoensook', 'Thongchai Thongkanthom', 'Ratthanant Janyajirawong', 'Pattarasaya Kreuasuwansri']",tt6453014
475,A Friend of Dorothy,1994,Not Rated,7.2,"['Drama', 'Short']","[""Raoul O'Connell"", ""Raoul O'Connell"", 'Ann Russo', 'Kevin McClatchy', 'Greg Lauren']",tt0109846
476,Canceling,2020,Not Rated,8.5,['Comedy'],"['Natalie Wynn', 'Natalie Wynn', 'Buck Angel', 'James Charles', 'Tati Westbrook', 'Blaire White']",tt1154008
477,American Style,2019,-,6.8,"['Documentary', 'History']","['Eric Avila', 'Jeffrey Banks', 'Todd Boyd', 'Christie Brinkley']",tt9139238
478,Boys on Film 19: No Ordinary Boy,2019,-,6.4,"['Drama', 'Romance']","['Amrou Al-Kadhi', 'Marco Alessi', 'Ben Allen', 'David Färdmar', 'Jake Graf', 'Scott T. Hinson', 'Leon Lopez', 'Dean Loxton', 'Jannik Splidsboel', 'Abhishek Verma', 'Peder Bille', 'Alex Austin', 'Oisín Stack', 'Ashley Campbell']",tt1077710
479,Anderson's Cross,2010,R,5.0,"['Comedy', 'Drama', 'Romance']","['Jerome Elston Scott', 'Michael Warren', 'Joanna Cassidy', 'Joyce Guy', 'Bill Moseley']",tt0393049
480,My Sweet Prince,2019,-,7.2,"['Short', 'Drama']","['Jason Bradbury', 'Yoni Roodner', 'Jacob Avery', 'Rio Thake', 'Oliver Bickers']",tt9916544
481,Miao Miao,2008,-,5.9,"['Comedy', 'Drama', 'Romance']","['Hsiao-tse Cheng', 'Chia-Yen Ko', 'Sandrine Pinna', 'Wing Fan', 'Kang Ren Wu']",tt0984130
482,ClaireVoyant,2018,-,8.2,"['Comedy', 'Drama', 'Sci-Fi']","['Annie Briggs', 'Natasha Negovanlis', 'Jsin Sasha', 'Sabryn Rock']",tt9111512
483,Dysphoric: Fleeing Womanhood Like A House on Fire,2021,-,7.4,['Documentary'],"['Vaishnavi Sundar', 'David Bell', 'Jennifer Bilek', 'Jenny Cyphers', 'Charlie Evans']",tt1394515
484,The Road to Edmond,2018,-,4.4,['Comedy'],"['David Trotter', 'Nathanael Welch', 'Tripp Fuller', 'Keisha Ladd', 'Michael Whisnan']",tt7087674
485,Requited,2011,Not Rated,5.7,"['Short', 'Drama', 'Romance']","['Sal Bardo', 'Chris Damon', 'Max Rhyser', 'Matthew Watson', 'Crystal Arnette']",tt1725095
486,Spidarlings,2016,Not Rated,6.7,"['Comedy', 'Horror', 'Musical']","['Selene Kapsaski', 'Sophia Disgrace', 'Rahel Kapsaski', 'Lee Mark Jones', 'Rusty Goffe']",tt2262129
487,HaNeshef,2018,-,6.5,['Drama'],"['Tal Granit', 'Sharon Maymon', 'Stav Strashko', 'Netsanet Mekonen', 'Noam Lugasy', 'Assi Levy']",tt8653840
488,Birthday Boy,2021,-,-,"['Short', 'Drama']","['Leo LeBeau', 'Mika Simmons', 'Ted Reilly', 'Faith Kiggundu', 'Hannah Mciver']",tt1136386
489,Christmas Coming Out,2021,-,-,"['Short', 'Comedy', 'Drama']","['Art Arutyunyan', 'Ford Nelson', 'Tyler Horn', 'Arthur Marroquin', 'Katryn Schmidt']",tt1398379
490,Killer Unicorn,2018,PG-13,3.2,['Horror'],"['Drew Bolton', 'Dennis Budesheim', 'Alejandro La Rosa', 'Markus Kelle', 'Monica Garcia Bradley']",tt6423998
491,Daniël,2012,-,7.0,"['Short', 'Drama', 'Romance']","['Vincent Fitz-Jim', 'Bas de Vries', 'Eva Oosters', 'Frederik Stuut']",tt2368540
492,Femme,2018,Not Rated,7.8,"['Short', 'Comedy']","['Alden Peters', 'Corey Camperchioli', 'Derek Klena', 'Stephanie Hsu', 'Jay Rivera']",tt7365244
493,Benim Çocugum,2013,-,8.2,"['Documentary', 'Family']","['Can Candan', 'Sule Ceylan', 'Ömer Ceylan', 'Günseli Dum', 'H. Metehan Ozkan']",tt2461906
494,Are Traps Gay?,2019,-,8.9,['-'],"['Natalie Wynn', 'Natalie Wynn']",tt1039804
495,Poised,2019,-,6.5,['Drama'],"['Robert Cairns', 'Luca Calvani', 'Johanna Taylor', 'Yiannis Alexiou', 'Venetia Grivas']",tt9168706
496,Hand Off,2019,Not Rated,7.0,"['Short', 'Drama', 'Romance']","['Chadlee Skrikker', 'Andahr Cotton', 'Arnold Horn', 'Aidan Scott', 'Rebecca Patrick']",tt1098553
497,Treading Water,2001,-,5.5,['Drama'],"['Lauren Himmelvo', 'Angie Redman', 'Nina Landey', 'Annette Miller', 'Robert Harte']",tt0287045
498,Workhorse Queen,2021,Not Rated,8.3,['Documentary'],"['Angela Washko', 'Roy Haylock', 'Patrick Holt', 'Simona Ioffe', 'Daniel Jones']",tt1382744
499,You've Changed,2019,Not Rated,-,"['Short', 'Comedy', 'Fantasy']","['Jay Wolff', 'Andrew Bridges', 'Barbara Gray', 'Ester Steinberg', 'Eric Williams']",tt8548862
500,Apricot Groves,2016,-,7.5,"['Drama', 'Romance']","['Pouria Heidary Oureh', 'Hovhannes Azoyan', 'Samvel Sarkisyan', 'Ashot Adamyan', 'Pedram Ansari']",tt4726166
501,The Politics of Fur,2002,-,4.9,['Drama'],"['Laura Nix', 'Katy Selverstone', 'Brynn Horrocks', 'T. Jerram Young', 'Carolyn Mignini']",tt0325992
502,The Case Against 8,2014,TV-14,7.3,"['Documentary', 'Biography', 'News']","['Ben Cotner', 'Ryan White', 'Ted Olson', 'Christopher D. Dusseault', 'Jeffrey J. Zarrillo', 'Paul T. Katami']",tt2107850
503,Coming Out,2013,TV-MA,7.3,['Drama'],"['Sebastien Beaulac', 'Mathieu Blanchard', 'Mélanie Pilon', 'Patrick Martin']",tt3036906
504,Not Your Average Joe,2016,-,-,"['Short', 'Comedy', 'Drama']","['Dennis Larkin', 'Johnny Kostrey', 'Randy Shelly', 'Kelley Mack', 'Carly Thomas Smith']",tt5425486
505,Code Name: Dynastud,2018,Not Rated,3.5,['Action'],"['Richard Griffin', 'William Galatis', 'Michael Varrati', 'Jordan Pacheco', 'Adam LaFramboise']",tt6354056
506,Wretched Things,2018,-,6.5,['Drama'],"['Gage Oxley', 'Adam Ayadi', 'Tommy Vilés', 'Warren Godman', 'Bruce Herbelin-Earle']",tt8447162
507,Fighting Tommy Riley,2004,R,6.5,"['Drama', 'Mystery', 'Romance']","[""Eddie O'Flaherty"", 'Eddie Jones', 'J.P. Davis', 'Christina Chambers', 'Diane Tayler']",tt0366444
508,Never Look Back,1997,-,4.9,"['Comedy', 'Drama']","['Stephen Kinsella', 'Nicole Cannon', 'Chris Sery', 'Candis Cayne', 'Lina Bradford']",tt0251896
509,Neon Boys,2020,-,6.1,"['Short', 'Drama']","['A.J. Mattioli', 'Jonathan Salazar', 'Vincent De Paul', 'Matty Glitterati Kinkel', 'Tym Moss', 'Jonathan Salazar']",tt7941004
510,Summer,2006,Not Rated,6.1,"['Short', 'Comedy', 'Drama']","['Hong Khaou', 'Peter Peralta', 'Jay Brown']",tt0800225
511,Coming Out,2015,Not Rated,7.2,"['Documentary', 'Comedy', 'Drama']","['Alden Peters', 'Alden Peters', 'Callahan Peters', 'Julian Peters', 'Ritch Savin-Williams']",tt3686542
512,Lazare,2020,-,-,"['Drama', 'Fantasy', 'Musical']","['Philippe Chalem', 'Emine Meyrem', 'Milena Straube', 'Lionel Rousselot', 'Stanislas Siwiorek']",tt9720690
513,I Love Her,2017,-,4.3,"['Drama', 'Romance']","['Darya Perelay', 'Natalie Ivanchuk', 'Eudald Font', 'Andrés Mercado', 'Clare Durant']",tt4921812
514,America Mappillai,2018,-,7.2,"['Comedy', 'Drama']","['Raja Krishnamoorthy', 'M.S. Bhaskar', 'Arjun Chidambaram', 'Namita Krishnamurthy']",tt8055980
515,Été,2017,-,6.9,"['Short', 'Drama', 'Music']","['Gregory Oke', 'Dan Partridge', 'David Burnett', 'Rhiannon Handy', 'Wilf Williams']",tt7686040
516,Ben Platt: Ease My Mind,2019 Video,G,7.6,"['Short', 'Music']","['Nick Lieberman', 'Ben Platt', 'Charlie Carver', 'Danae Greenfield']",tt1213084
517,The Latin Boys: Volume 1,2019,-,6.1,['Drama'],"['Andrés Madrigal Alvarado', 'Henrique Arruda', 'Rodrigo Bellott', 'Quentin Lazzarotto', 'Simon Jaikiriuma Paetau', 'Erick Salas Kirchhausen', 'Arlindo Bezerra', 'Yaniel Castillo', 'David Elizondo', 'Saúl Espinazo']",tt1151544
518,Just Ask Him,2021,Not Rated,5.4,"['Short', 'Comedy', 'Drama']","['Brian Tognotti', 'Donovan Napoli', 'Rio Padilla-Smith', 'Elsie Arisa', 'Sherri Z. Heller']",tt1382465
519,The Out List,2013,TV-MA,7.2,['Documentary'],"['Timothy Greenfield-Sanders', 'Dustin Lance Black', 'R. Clarke Cooper', 'Wade Davis', 'Ellen DeGeneres']",tt3037846
520,Bender,2020,-,5.7,"['Short', 'Drama']","['Alex Cardy', 'Matt Hickmott', 'Josh Lavery', 'Lucas Pittaway']",tt9802580
521,The Light Touch,,-,-,['Comedy'],"['Robert MacLean', 'Antonia Bogdanovich', 'Despina Mirou', 'Georgia Siakavara', 'Konstantinos Lachanas']",tt7286976
522,Horizon,2016 TV Movie,R,7.6,['Drama'],"['Stephan Elliott', 'Anna Bauert', 'Matthew Clarke', 'Indigo Felton', 'Patrick James']",tt6218970
523,Millimeterle,2016,-,6.8,"['Short', 'Drama']","['Pascal Reinmann', 'Thierry Brunnschweiler', 'Maurice Schnieper', 'Tobias Hiltbrand', 'Lou Ehrat']",tt6825128
524,Egghead & Twinkie,2019,-,8.7,"['Short', 'Comedy']","['Sarah Kambe Holland', 'Sabrina Jieafa', 'Louis Tomeo', 'J. Scott Browning', 'Kelley Mauro']",tt9726904
525,Who Wants to Live Forever?,,-,-,['Drama'],"['Nicole Andreas', 'Alexandra Kravtsova', 'Varvara Obidor', 'Anna Zaitseva']",tt1399877
526,To Be Takei,2014,Not Rated,6.9,"['Documentary', 'Biography']","['George Takei', 'Jennifer M. Kroot', 'George Takei', 'Brad Takei', 'Walter Koenig', 'William Shatner']",tt2174896
527,My Son is Gay,2019,-,7.7,"['Drama', 'Family', 'Musical']","['Lokesh Kumar', 'Anupama Kumar', 'Ashwinjith', 'Abishek Joseph George', 'V. Jayaprakash']",tt3638722
528,Stand,2014,Unrated,5.9,"['Drama', 'Mystery', 'Romance']","['Jonathan Taieb', 'Renat Shuteev', 'Andrey Kurganov', 'Andrey Koshman', 'Ekaterina Rusnak']",tt3420848
529,Citizens,,-,-,['Drama'],"['Alex Monty Canawati', 'Alex Monty Canawati', 'Todd Geyer', 'Juliet Landau', 'Rena Riffel']",tt3149538
530,Willem,2020,-,5.6,"['Short', 'History']","['David Hastings', 'Thomas Loone', 'Will Bradshaw', 'Chris Johnson']",tt7161760
531,Memories of Forgetting,2021,Not Rated,-,['Drama'],"['Joselito Altarejos', 'Dexter Doria', 'Noel Escondo', 'Jonathan Ivan Rivera']",tt1401315
532,Duk haan chau faan,2010,-,6.3,"['Comedy', 'Romance']","['Ann Hui', 'Sandra Kwan Yue Ng', 'Vivian Chow', 'Eddie Cheung', 'William Wai-Ting Chan']",tt1694518
533,È solo nella mia testa,2020,-,8.6,"['Short', 'Drama']","['Marius Gabriel Stancu', 'Carmine Fabbricatore', 'Claudio Segaluscio']",tt1298006
534,No Clothes,2012,Not Rated,5.3,"['Short', 'Action', 'Comedy']","['Hugo Kenzo', 'Jordan Firstman', 'Tommy Lewis', 'Nicole Delaney']",tt2202976
535,Piece of Cake,2015,-,6.1,"['Drama', 'Romance']","['Tomorô Taguchi', 'Mikako Tabe', 'Gô Ayano', 'Tôri Matsuzaka', 'Fumino Kimura']",tt4061360
536,Pete the Cat: A Very Groovy Christmas,2018 TV Movie,-,7.2,"['Animation', 'Adventure', 'Family']","['Van Partible', 'Bernie Petterson', 'Jessica Biel', 'Elvis Costello', 'Diana Krall', 'Jacob Tremblay']",tt9149382
537,Yêu,2015,-,7.2,"['Drama', 'Romance']","['Viet Max', 'Phuong Bella', 'Pho Dac Biet', 'Huynh Dong', 'Le Duy Hai']",tt4777250
538,Two Words,2018,-,3.0,"['Short', 'Drama']","['Jesper Emborg', 'Henry Goodman', 'Sophia Myles']",tt8794130
539,Laerte-se,2017,TV-MA,6.9,['Documentary'],"['Lygia Barbosa', 'Eliane Brum', 'Laerte Coutinho', 'Eliane Brum', 'Rafael Coutinho', 'Rita Lee']",tt6791240
