,movie,years,mpaa_ratings,fan_stars,genres,creators,imdb_reference
149,Benjamin,2018,R,6.7,"['Comedy', 'Drama', 'Romance']","['Simon Amstell', 'Gabe Gilmour', 'Jack Rowan', 'Colin Morgan', 'Anna Chancellor']",tt7455076
150,Big Wednesday,1978,PG,7.2,"['Drama', 'Sport']","['John Milius', 'Jan-Michael Vincent', 'William Katt', 'Gary Busey', ""Patti D'Arbanville""]",tt0077235
151,The Doom Generation,1995,R,6.1,"['Comedy', 'Crime', 'Drama']","['Gregg Araki', 'James Duval', 'Rose McGowan', 'Johnathon Schaech', 'Cress Williams']",tt0112887
152,Snapshots,2018,TV-MA,6.8,['Drama'],"['Melanie Mayron', 'Piper Laurie', 'Brooke Adams', 'Emily Baldoni', 'Christopher McVay']",tt5322168
153,Female Trouble,1974,NC-17,7.2,"['Comedy', 'Crime']","['John Waters', 'Divine', 'David Lochary', 'Mary Vivian Pearce', 'Mink Stole']",tt0072979
154,2 in the Bush: A Love Story,2018,-,4.4,"['Comedy', 'Drama', 'Romance']","['Laura Madalinski', 'Sarah Lin Mitchell', 'Travis Delgado', 'Caito Aase', 'Melissa DuPrey']",tt8493776
155,Miss Kobayashi's Dragon Maid,2017,TV-14,7.7,"['Animation', 'Comedy', 'Fantasy']","['Mutsumi Tamura', 'Yuuki Kuwahara', 'Maria Naganawa', 'Kerstin Julia Dietrich']",tt6185782
156,The Uninvited,1944,Passed,7.3,"['Fantasy', 'Horror', 'Mystery']","['Lewis Allen', 'Ray Milland', 'Ruth Hussey', 'Donald Crisp', 'Cornelia Otis Skinner']",tt0037415
157,The Cool Kids,2018,TV-14,7.0,['Comedy'],"['David Alan Grier', 'Martin Mull', 'Leslie Jordan', 'Vicki Lawrence']",tt7725538
158,Law of Desire,1987,NC-17,7.1,"['Comedy', 'Drama', 'Thriller']","['Pedro Almodóvar', 'Eusebio Poncela', 'Carmen Maura', 'Antonio Banderas', 'Miguel Molina']",tt0093412
159,Another Gay Movie,2006,Not Rated,5.0,"['Comedy', 'Romance']","['Todd Stephens', 'Michael Carbonaro', 'Jonathan Chase', 'Jonah Blechman', 'Mitch Morris']",tt0443431
160,The White Slave,2016,TV-MA,8.3,['History'],"['Cristina García', 'Paola Moreno', 'Nerea Camacho', 'Carrell Lasso']",tt5458128
161,Strawberry Panic,2006,TV-PG,6.8,"['Animation', 'Drama', 'Romance']","['Hitomi Nabatame', 'Ai Shimizu', 'Mai Nakahara', 'Chiwa Saitô']",tt0996275
162,Escape from Pleasure Planet,2016 Video,Not Rated,3.7,"['Action', 'Comedy', 'Fantasy']","['Terrance Ryker', 'Blair Williams', 'Vanessa Cage', 'Veronica Vain', 'Erika Jordan']",tt6235008
163,Hurricane Bianca,2016,TV-MA,5.9,"['Comedy', 'Drama']","['Matt Kugelman', 'Roy Haylock', 'Lola Botha', 'Grayson Thorne Kilpatrick', 'Willam Belli']",tt4007248
164,Paris 05:59: Théo & Hugo,2016,Unrated,6.9,"['Drama', 'Romance']","['Olivier Ducastel', 'Jacques Martineau', 'Mario Fanfani', 'Geoffrey Couët', 'François Nambot', 'Bastien Gabriel']",tt5096628
165,No Hard Feelings,2020,Not Rated,6.7,"['Drama', 'Romance']","['Faraz Shariat', 'Benny Radjaipour', 'Banafshe Hourmazdi', 'Eidin Jalali', 'Mashid Shariat']",tt8892064
